Date,City,Branch,Product,Sales,InventoryLevel (%),CustomerFootfall,EmployeeName,AvgServiceTime,ReturnRate,LoyaltySegment
2025-03-10,Kolkata,Kolkata - Branch 1,Americano,357.3,32,33,Nicole,4.88,0.01,New
2025-04-04,Chennai,Chennai - Branch 2,Americano,314.64,51,43,Angela,5.03,0.01,Loyal
2025-01-31,Mumbai,Mumbai - Branch 3,Cappuccino,204.23,40,185,Erik,4.22,0.04,New
2025-06-17,Mumbai,Mumbai - Branch 1,Cold Brew,454.1,99,26,Ariel,6.05,0.1,Loyal
2025-06-06,Bangalore,Bangalore - Branch 1,Latte,277.39,73,18,Emma,3.98,0.04,Returning
2025-03-29,Dubai,Dubai - Branch 1,Cappuccino,505.45,94,174,Sandra,4.77,0.0,Returning
2025-01-28,Pune,Pune - Branch 2,Mocha,539.2,50,22,Sandra,5.04,0.11,Loyal
2025-01-23,Mumbai,Mumbai - Branch 1,Espresso,377.3,54,163,Michelle,3.67,0.1,Loyal
2025-06-18,Delhi,Delhi - Branch 1,Mocha,355.05,34,98,Heather,1.97,0.15,New
2025-05-06,Ahmedabad,Ahmedabad - Branch 1,Espresso,227.49,73,76,Jennifer,6.05,0.09,New
2025-02-14,Bangalore,Bangalore - Branch 2,Mocha,264.97,91,63,Douglas,6.82,0.02,New
2025-03-25,Ahmedabad,Ahmedabad - Branch 2,Americano,482.25,83,192,Michael,4.02,0.1,New
2025-04-19,Jaipur,Jaipur - Branch 3,Frappuccino,207.0,92,18,Steven,2.86,0.05,New
2025-02-24,Chennai,Chennai - Branch 2,Americano,204.6,31,39,Joseph,5.16,0.0,Loyal
2025-02-02,Kolkata,Kolkata - Branch 3,Cold Brew,353.67,49,80,Nicole,1.81,0.08,Returning
2025-05-20,Lucknow,Lucknow - Branch 2,Cold Brew,151.64,57,140,Aaron,4.57,0.0,New
2025-04-06,Hyderabad,Hyderabad - Branch 3,Cold Brew,342.51,75,117,Kenneth,3.35,0.02,Loyal
2025-02-06,Singapore,Singapore - Branch 2,Espresso,372.98,98,44,Richard,5.66,0.0,New
2025-02-11,Dubai,Dubai - Branch 3,Cappuccino,467.13,50,86,Rebecca,4.14,0.12,New
2025-03-12,Mumbai,Mumbai - Branch 2,Espresso,257.96,76,158,Janice,2.89,0.03,New
2025-06-15,Ahmedabad,Ahmedabad - Branch 2,Cold Brew,507.92,60,120,William,2.76,0.0,Loyal
2025-06-22,Kolkata,Kolkata - Branch 3,Cappuccino,271.96,47,158,Vanessa,3.08,0.11,Loyal
2025-01-15,Hyderabad,Hyderabad - Branch 3,Mocha,516.2,47,12,Vanessa,3.49,0.05,Loyal
2025-04-16,New York,New York - Branch 2,Espresso,235.04,57,61,Daniel,6.81,0.05,New
2025-05-11,Chennai,Chennai - Branch 1,Mocha,509.75,33,114,Kyle,4.2,0.09,Loyal
2025-03-16,Jaipur,Jaipur - Branch 2,Espresso,180.99,36,142,James,5.59,0.03,New
2025-03-16,Dubai,Dubai - Branch 1,Cappuccino,243.36,49,181,Brooke,4.64,0.01,New
2025-03-18,Chennai,Chennai - Branch 1,Frappuccino,497.32,50,174,Allison,1.81,0.02,New
2025-02-05,Delhi,Delhi - Branch 1,Cold Brew,548.26,85,149,Bryan,5.18,0.01,Returning
2025-05-29,Chennai,Chennai - Branch 3,Frappuccino,170.73,52,116,Aaron,3.78,0.02,New
2025-05-14,Bangalore,Bangalore - Branch 3,Latte,314.97,47,152,Beth,3.35,0.11,Returning
2025-05-17,Chennai,Chennai - Branch 3,Espresso,531.73,81,48,Elijah,4.28,0.05,Returning
2025-04-21,Dubai,Dubai - Branch 1,Cold Brew,458.56,31,65,James,5.45,0.01,Loyal
2025-05-03,Hyderabad,Hyderabad - Branch 1,Latte,236.9,53,61,Mark,2.71,0.11,Loyal
2025-04-11,Jaipur,Jaipur - Branch 3,Frappuccino,296.23,43,179,Suzanne,6.26,0.14,New
2025-07-05,New York,New York - Branch 3,Americano,283.05,84,111,Krystal,5.33,0.13,Loyal
2025-01-30,Mumbai,Mumbai - Branch 3,Latte,280.15,33,120,Allison,6.66,0.11,Loyal
2025-01-29,Hyderabad,Hyderabad - Branch 2,Mocha,451.87,97,92,Martha,3.0,0.06,New
2025-01-21,London,London - Branch 3,Americano,293.63,100,139,Michael,5.52,0.1,New
2025-03-18,Kolkata,Kolkata - Branch 1,Cold Brew,477.46,82,19,Deanna,1.6,0.11,New
2025-02-08,Singapore,Singapore - Branch 2,Latte,500.95,82,128,Christopher,6.21,0.09,New
2025-07-05,New York,New York - Branch 1,Latte,429.26,96,62,Leonard,6.42,0.09,Loyal
2025-06-27,Lucknow,Lucknow - Branch 3,Cold Brew,355.72,89,34,Karen,3.6,0.02,Returning
2025-02-25,Chennai,Chennai - Branch 1,Espresso,288.07,73,58,Felicia,5.71,0.01,Loyal
2025-02-23,Kolkata,Kolkata - Branch 3,Mocha,247.91,32,182,Linda,6.6,0.1,New
2025-05-17,Dubai,Dubai - Branch 1,Frappuccino,405.11,69,115,Rhonda,5.63,0.04,New
2025-01-18,London,London - Branch 1,Americano,251.83,41,73,Taylor,5.59,0.03,Loyal
2025-02-02,Ahmedabad,Ahmedabad - Branch 1,Latte,299.43,71,21,Angela,3.69,0.08,New
2025-02-27,Jaipur,Jaipur - Branch 3,Latte,296.73,95,84,Amy,6.55,0.07,New
2025-04-02,Chennai,Chennai - Branch 2,Espresso,235.38,100,64,Russell,2.94,0.01,New
2025-01-16,Dubai,Dubai - Branch 2,Cold Brew,503.85,99,136,Thomas,2.29,0.1,Loyal
2025-02-23,Chennai,Chennai - Branch 1,Cold Brew,246.93,100,127,Shawn,6.69,0.07,Returning
2025-01-26,Dubai,Dubai - Branch 3,Cappuccino,241.81,59,157,Robin,4.34,0.08,New
2025-05-29,Pune,Pune - Branch 2,Frappuccino,287.79,59,129,Melissa,6.24,0.06,New
2025-02-07,Hyderabad,Hyderabad - Branch 1,Americano,466.82,84,120,Anthony,6.8,0.05,New
2025-03-10,Hyderabad,Hyderabad - Branch 3,Mocha,259.77,82,39,Brenda,5.02,0.15,New
2025-04-12,Dubai,Dubai - Branch 3,Mocha,395.59,94,191,Cory,5.27,0.07,New
2025-04-12,Lucknow,Lucknow - Branch 1,Cold Brew,349.64,88,28,Patrick,6.54,0.12,Loyal
2025-06-11,Pune,Pune - Branch 3,Cold Brew,371.51,58,38,Christopher,3.93,0.13,Returning
2025-04-01,London,London - Branch 2,Americano,170.09,84,133,Amber,2.79,0.06,Loyal
2025-05-11,New York,New York - Branch 2,Latte,241.38,65,48,Joan,4.63,0.05,New
2025-01-18,Delhi,Delhi - Branch 1,Frappuccino,191.89,37,160,Hailey,5.56,0.12,New
2025-03-29,Bangalore,Bangalore - Branch 2,Cold Brew,543.46,36,89,Samantha,4.96,0.08,New
2025-06-09,Chennai,Chennai - Branch 2,Cappuccino,439.71,66,20,Stephanie,5.7,0.14,Loyal
2025-02-01,New York,New York - Branch 2,Frappuccino,467.84,97,23,Jason,3.91,0.11,Returning
2025-03-05,Pune,Pune - Branch 3,Americano,324.38,79,45,Gene,6.43,0.1,New
2025-05-26,Hyderabad,Hyderabad - Branch 3,Espresso,309.4,93,93,Kayla,5.97,0.14,Returning
2025-05-05,Singapore,Singapore - Branch 2,Espresso,362.82,40,34,David,5.52,0.1,Returning
2025-03-03,New York,New York - Branch 1,Mocha,443.19,94,28,Randy,2.48,0.11,New
2025-06-19,Lucknow,Lucknow - Branch 1,Frappuccino,309.4,51,125,Andrew,4.94,0.13,Loyal
2025-05-11,Chennai,Chennai - Branch 1,Mocha,168.01,46,31,Hunter,6.43,0.1,New
2025-03-30,New York,New York - Branch 2,Mocha,182.15,33,98,Jeffery,3.93,0.0,Loyal
2025-05-19,Chennai,Chennai - Branch 3,Espresso,371.7,97,124,Scott,6.57,0.07,New
2025-06-10,Singapore,Singapore - Branch 2,Latte,171.55,55,56,Lee,3.3,0.04,New
2025-02-11,Jaipur,Jaipur - Branch 3,Mocha,468.05,80,180,Kenneth,4.1,0.09,Loyal
2025-06-25,New York,New York - Branch 1,Latte,441.7,37,186,James,1.58,0.0,Returning
2025-07-07,Jaipur,Jaipur - Branch 3,Latte,223.59,99,87,Cody,3.03,0.13,New
2025-06-29,Hyderabad,Hyderabad - Branch 3,Latte,460.62,96,187,Michele,4.31,0.04,Loyal
2025-03-07,Lucknow,Lucknow - Branch 1,Cappuccino,514.3,99,63,Greg,4.55,0.05,Loyal
2025-01-31,Lucknow,Lucknow - Branch 3,Americano,306.76,76,53,Jacob,6.59,0.07,New
2025-05-09,Kolkata,Kolkata - Branch 1,Frappuccino,447.8,78,166,Justin,4.1,0.08,Loyal
2025-03-23,Hyderabad,Hyderabad - Branch 3,Mocha,477.5,31,77,William,6.79,0.14,Loyal
2025-06-23,Lucknow,Lucknow - Branch 1,Espresso,434.56,44,140,Candace,6.33,0.11,Loyal
2025-04-23,Chennai,Chennai - Branch 2,Frappuccino,466.73,92,34,Adam,4.68,0.07,Returning
2025-04-23,Kolkata,Kolkata - Branch 3,Cappuccino,179.35,88,109,Walter,3.88,0.08,Loyal
2025-03-07,Mumbai,Mumbai - Branch 2,Espresso,504.11,59,177,Amanda,4.36,0.08,New
2025-01-10,Singapore,Singapore - Branch 3,Mocha,530.89,34,68,Robin,5.47,0.06,Returning
2025-04-15,Dubai,Dubai - Branch 2,Americano,248.3,31,184,Elizabeth,3.91,0.14,Returning
2025-05-10,Singapore,Singapore - Branch 1,Latte,245.52,68,144,Alexis,2.19,0.11,New
2025-06-28,Bangalore,Bangalore - Branch 2,Cold Brew,305.33,84,146,Meagan,3.83,0.03,Returning
2025-04-06,Singapore,Singapore - Branch 3,Frappuccino,516.02,69,90,Natalie,5.46,0.1,Returning
2025-03-28,Delhi,Delhi - Branch 3,Cold Brew,330.32,31,137,Catherine,3.94,0.07,Loyal
2025-01-17,Ahmedabad,Ahmedabad - Branch 2,Mocha,379.45,70,144,Jessica,2.65,0.06,Loyal
2025-01-28,Hyderabad,Hyderabad - Branch 2,Americano,325.34,100,95,David,6.97,0.09,Loyal
2025-01-26,London,London - Branch 2,Mocha,537.96,97,173,April,4.29,0.01,Returning
2025-06-13,Surat,Surat - Branch 1,Americano,320.97,77,157,Stephanie,2.39,0.09,Loyal
2025-06-18,New York,New York - Branch 3,Cold Brew,447.83,37,92,Christy,6.77,0.07,New
2025-07-01,Lucknow,Lucknow - Branch 3,Frappuccino,439.26,99,13,Sara,3.91,0.03,Loyal
2025-06-23,Ahmedabad,Ahmedabad - Branch 1,Mocha,480.46,67,60,Erin,4.18,0.1,Returning
2025-06-11,Delhi,Delhi - Branch 1,Cold Brew,160.12,85,82,Nicole,2.11,0.07,New
2025-03-28,Kolkata,Kolkata - Branch 3,Frappuccino,375.0,96,126,John,3.4,0.05,Returning
2025-05-26,Dubai,Dubai - Branch 3,Americano,390.69,49,161,James,4.2,0.13,New
2025-06-12,Lucknow,Lucknow - Branch 3,Mocha,192.65,74,52,Brian,6.84,0.12,Returning
2025-02-25,Kolkata,Kolkata - Branch 2,Espresso,250.64,72,123,Joseph,3.83,0.15,Returning
2025-03-09,Bangalore,Bangalore - Branch 1,Cappuccino,429.91,39,109,Cameron,3.72,0.13,Returning
2025-04-13,Surat,Surat - Branch 1,Americano,182.13,91,159,Corey,6.69,0.13,New
2025-02-03,Singapore,Singapore - Branch 1,Cappuccino,376.82,36,14,Olivia,4.91,0.12,New
2025-05-16,Pune,Pune - Branch 2,Americano,385.44,82,198,Michael,3.77,0.09,New
2025-05-24,New York,New York - Branch 3,Frappuccino,494.34,45,28,Jessica,2.03,0.05,New
2025-03-18,Kolkata,Kolkata - Branch 3,Espresso,211.85,86,92,Joshua,6.45,0.04,Returning
2025-03-19,New York,New York - Branch 2,Latte,172.71,93,31,Vanessa,6.89,0.06,Returning
2025-04-04,Dubai,Dubai - Branch 3,Latte,498.79,95,179,Jacob,4.7,0.05,Loyal
2025-05-07,Singapore,Singapore - Branch 3,Frappuccino,391.26,34,97,Cynthia,6.37,0.11,Returning
2025-04-17,Pune,Pune - Branch 3,Espresso,421.11,61,69,Robert,3.88,0.13,New
2025-03-01,Pune,Pune - Branch 1,Mocha,334.92,76,97,Jacqueline,5.1,0.15,Returning
2025-03-28,London,London - Branch 1,Espresso,504.52,86,143,Jacob,6.23,0.13,New
2025-02-21,Chennai,Chennai - Branch 2,Mocha,402.21,47,73,Andrea,2.2,0.02,Returning
2025-03-20,Singapore,Singapore - Branch 3,Cold Brew,229.77,64,100,Alex,2.96,0.11,New
2025-05-26,Mumbai,Mumbai - Branch 1,Latte,330.58,31,199,Scott,4.75,0.06,New
2025-03-05,Bangalore,Bangalore - Branch 2,Frappuccino,482.91,83,22,Michael,2.3,0.02,Loyal
2025-04-09,Surat,Surat - Branch 3,Espresso,414.87,37,178,Breanna,4.77,0.07,New
2025-06-24,Chennai,Chennai - Branch 2,Frappuccino,421.87,75,166,Lance,6.79,0.12,New
2025-02-10,Jaipur,Jaipur - Branch 3,Frappuccino,260.2,60,175,Arthur,4.1,0.14,Loyal
2025-03-29,Delhi,Delhi - Branch 1,Cappuccino,428.57,76,142,Victoria,2.87,0.11,Returning
2025-04-11,Jaipur,Jaipur - Branch 2,Mocha,478.69,76,183,Nicole,1.81,0.09,New
2025-01-17,Lucknow,Lucknow - Branch 2,Cold Brew,371.51,97,156,Joseph,2.69,0.13,New
2025-06-01,Hyderabad,Hyderabad - Branch 3,Americano,346.47,86,34,Martin,1.6,0.0,Loyal
2025-01-19,Hyderabad,Hyderabad - Branch 3,Cappuccino,174.86,50,57,Carla,3.84,0.06,Loyal
2025-03-24,Chennai,Chennai - Branch 3,Espresso,340.6,96,30,Victoria,5.03,0.13,Returning
2025-01-17,Hyderabad,Hyderabad - Branch 3,Cold Brew,189.57,52,146,Scott,4.95,0.08,New
2025-06-12,Lucknow,Lucknow - Branch 2,Mocha,178.1,43,107,Shelley,3.31,0.14,Returning
2025-03-16,Dubai,Dubai - Branch 3,Espresso,324.34,69,155,Jeremiah,3.59,0.04,Loyal
2025-06-19,Ahmedabad,Ahmedabad - Branch 2,Frappuccino,390.31,42,11,Jeremy,2.99,0.12,New
2025-03-05,Dubai,Dubai - Branch 3,Mocha,454.86,57,34,Andrea,6.95,0.01,New
2025-01-30,Ahmedabad,Ahmedabad - Branch 1,Mocha,316.04,57,116,Chris,4.53,0.11,Loyal
2025-06-20,Jaipur,Jaipur - Branch 3,Cappuccino,287.36,84,43,Kristin,1.71,0.03,New
2025-01-27,New York,New York - Branch 3,Cold Brew,284.48,96,124,Mary,2.85,0.12,Loyal
2025-04-17,Lucknow,Lucknow - Branch 2,Americano,433.73,96,70,Katherine,4.19,0.1,Loyal
2025-05-07,Mumbai,Mumbai - Branch 1,Cappuccino,171.11,53,137,Craig,4.23,0.09,Returning
2025-06-26,Lucknow,Lucknow - Branch 1,Frappuccino,189.4,89,168,Patrick,4.36,0.07,New
2025-06-25,New York,New York - Branch 3,Espresso,333.01,96,152,Scott,3.9,0.07,Returning
2025-04-30,Jaipur,Jaipur - Branch 3,Latte,203.37,36,51,Tanya,4.41,0.1,New
2025-03-09,New York,New York - Branch 1,Frappuccino,427.12,56,42,Jennifer,5.48,0.09,New
2025-02-03,Lucknow,Lucknow - Branch 3,Americano,514.19,87,141,Eric,5.98,0.09,Loyal
2025-04-02,New York,New York - Branch 3,Cappuccino,276.03,54,143,Ashley,6.52,0.09,Loyal
2025-04-08,Dubai,Dubai - Branch 2,Cold Brew,168.76,40,47,Brett,1.55,0.09,Returning
2025-01-23,New York,New York - Branch 3,Frappuccino,408.15,41,50,Melanie,3.51,0.04,Loyal
2025-01-20,New York,New York - Branch 2,Frappuccino,496.87,97,157,Jerry,2.36,0.15,New
2025-05-20,Mumbai,Mumbai - Branch 1,Mocha,331.1,99,183,Jonathan,5.94,0.02,New
2025-04-07,Delhi,Delhi - Branch 1,Espresso,460.33,95,197,Anthony,6.61,0.03,New
2025-06-10,Surat,Surat - Branch 2,Cappuccino,426.14,37,183,Lisa,6.8,0.09,Loyal
2025-04-27,New York,New York - Branch 2,Frappuccino,259.41,46,199,Steven,2.75,0.08,New
2025-06-25,Delhi,Delhi - Branch 1,Espresso,243.58,56,75,Anthony,6.22,0.14,Loyal
2025-06-13,Pune,Pune - Branch 3,Espresso,335.83,33,145,Michael,4.25,0.05,Returning
2025-01-12,Lucknow,Lucknow - Branch 1,Mocha,480.56,81,31,James,5.55,0.14,Loyal
2025-05-07,Chennai,Chennai - Branch 1,Mocha,442.82,91,192,Felicia,5.97,0.04,Returning
2025-06-04,Pune,Pune - Branch 2,Mocha,493.35,88,61,Kimberly,2.98,0.01,Returning
2025-07-01,Hyderabad,Hyderabad - Branch 3,Cold Brew,529.53,75,11,Misty,3.32,0.13,New
2025-01-30,Singapore,Singapore - Branch 3,Cappuccino,490.33,70,19,Gregory,1.95,0.06,Returning
2025-06-09,Ahmedabad,Ahmedabad - Branch 3,Cold Brew,418.07,76,197,Ashley,5.08,0.02,New
2025-01-16,Surat,Surat - Branch 3,Frappuccino,443.65,95,108,Todd,5.27,0.04,Loyal
2025-02-28,Chennai,Chennai - Branch 2,Cappuccino,467.04,73,152,Luis,5.16,0.1,Returning
2025-01-26,Lucknow,Lucknow - Branch 1,Frappuccino,305.93,45,80,Erik,4.47,0.05,Returning
2025-05-21,Mumbai,Mumbai - Branch 3,Cappuccino,470.93,34,128,Annette,4.31,0.13,Returning
2025-04-21,Pune,Pune - Branch 1,Cappuccino,489.33,91,149,Thomas,2.67,0.09,Returning
2025-04-28,Surat,Surat - Branch 2,Mocha,536.03,60,87,Jennifer,4.23,0.12,Returning
2025-03-14,Mumbai,Mumbai - Branch 2,Mocha,298.8,56,27,Danielle,3.42,0.02,New
2025-04-17,Lucknow,Lucknow - Branch 3,Latte,283.25,51,193,Stephen,2.12,0.14,New
2025-03-09,London,London - Branch 1,Latte,322.16,91,30,Carmen,5.04,0.06,Returning
2025-07-03,London,London - Branch 2,Espresso,317.84,87,179,Lisa,5.95,0.06,Loyal
2025-06-26,Bangalore,Bangalore - Branch 1,Cold Brew,248.08,67,160,Pamela,4.22,0.06,New
2025-03-17,Kolkata,Kolkata - Branch 1,Latte,464.38,32,97,Mark,3.78,0.13,Returning
2025-03-02,Kolkata,Kolkata - Branch 1,Americano,215.65,50,175,Steven,4.44,0.14,Loyal
2025-06-16,Delhi,Delhi - Branch 2,Espresso,503.59,38,11,Steve,6.99,0.1,New
2025-04-22,Hyderabad,Hyderabad - Branch 3,Mocha,391.1,92,174,Kenneth,6.75,0.12,Returning
2025-05-31,Delhi,Delhi - Branch 2,Mocha,505.68,82,178,Stacy,3.28,0.08,Loyal
2025-02-26,Bangalore,Bangalore - Branch 3,Latte,506.37,52,173,Tyler,2.19,0.04,Returning
2025-01-17,Lucknow,Lucknow - Branch 2,Americano,530.33,42,160,Paul,2.21,0.1,New
2025-01-11,Hyderabad,Hyderabad - Branch 3,Mocha,259.0,81,121,Ricardo,4.86,0.08,Returning
2025-04-30,Singapore,Singapore - Branch 1,Americano,288.31,85,200,Andre,3.35,0.08,New
2025-01-11,Dubai,Dubai - Branch 2,Espresso,206.14,79,24,Marc,4.42,0.06,Returning
2025-01-26,Dubai,Dubai - Branch 2,Cappuccino,394.75,63,92,Stephen,1.6,0.05,New
2025-02-06,Pune,Pune - Branch 3,Cold Brew,444.55,45,199,Kelly,4.15,0.1,Loyal
2025-03-19,Surat,Surat - Branch 3,Espresso,177.57,60,166,Patricia,3.19,0.06,Returning
2025-06-06,Jaipur,Jaipur - Branch 2,Cold Brew,513.77,96,72,Colleen,1.79,0.14,New
2025-04-28,Dubai,Dubai - Branch 2,Cold Brew,314.2,49,165,Douglas,4.68,0.09,New
2025-05-26,Dubai,Dubai - Branch 2,Mocha,310.78,56,165,Marie,6.19,0.04,Returning
2025-07-04,Hyderabad,Hyderabad - Branch 3,Americano,329.38,90,62,John,3.6,0.01,Loyal
2025-05-14,Mumbai,Mumbai - Branch 3,Mocha,536.92,89,118,Jonathan,5.91,0.05,Returning
2025-05-31,Lucknow,Lucknow - Branch 2,Mocha,188.76,32,73,Lisa,2.05,0.0,New
2025-05-02,Chennai,Chennai - Branch 2,Latte,400.38,57,88,John,6.42,0.09,Loyal
2025-03-09,Delhi,Delhi - Branch 3,Cappuccino,371.9,52,59,Brian,6.32,0.09,Loyal
2025-05-08,Kolkata,Kolkata - Branch 1,Espresso,345.12,70,49,John,4.38,0.03,Loyal
2025-06-24,Jaipur,Jaipur - Branch 1,Cappuccino,393.89,32,43,Jodi,5.52,0.03,New
2025-01-13,Surat,Surat - Branch 2,Americano,502.97,65,90,Matthew,4.44,0.09,Returning
2025-06-14,New York,New York - Branch 2,Cappuccino,393.69,60,183,Jacob,4.11,0.14,New
2025-01-27,Jaipur,Jaipur - Branch 2,Frappuccino,449.91,98,28,Kenneth,5.44,0.12,Returning
2025-04-10,Singapore,Singapore - Branch 3,Americano,417.81,61,84,William,2.11,0.01,Loyal
2025-02-22,Delhi,Delhi - Branch 1,Cappuccino,274.73,65,30,Daniel,6.01,0.03,New
2025-03-11,Mumbai,Mumbai - Branch 1,Frappuccino,200.9,42,197,Matthew,3.34,0.05,Returning
2025-04-09,London,London - Branch 3,Frappuccino,480.75,85,176,Thomas,4.96,0.0,New
2025-03-31,Surat,Surat - Branch 1,Frappuccino,309.15,56,82,Adrienne,6.55,0.0,Loyal
2025-03-13,Bangalore,Bangalore - Branch 3,Cappuccino,214.46,86,86,Danielle,2.79,0.0,Returning
2025-06-22,Hyderabad,Hyderabad - Branch 3,Mocha,371.05,40,122,Laura,4.33,0.08,Loyal
2025-03-16,New York,New York - Branch 1,Americano,444.7,34,155,Lori,3.67,0.08,Returning
2025-01-30,Pune,Pune - Branch 1,Americano,299.23,33,124,Roberto,5.21,0.03,Returning
2025-04-15,London,London - Branch 2,Espresso,344.09,87,91,Jaime,2.63,0.04,Returning
2025-06-21,Lucknow,Lucknow - Branch 2,Mocha,408.41,93,121,James,2.92,0.09,New
2025-02-02,Lucknow,Lucknow - Branch 2,Mocha,160.47,91,70,Jonathon,1.68,0.13,Loyal
2025-03-27,London,London - Branch 1,Espresso,347.0,100,70,Angela,5.02,0.12,Returning
2025-02-10,Singapore,Singapore - Branch 2,Espresso,333.82,91,46,Matthew,3.3,0.07,Returning
2025-05-26,Surat,Surat - Branch 1,Frappuccino,502.06,85,61,Gabrielle,5.24,0.13,Loyal
2025-06-17,Ahmedabad,Ahmedabad - Branch 1,Espresso,366.73,44,86,Brooke,5.9,0.12,Returning
2025-02-01,Ahmedabad,Ahmedabad - Branch 3,Cappuccino,212.93,58,60,Walter,2.36,0.02,Returning
2025-02-28,Hyderabad,Hyderabad - Branch 2,Cappuccino,242.4,59,151,Michael,6.16,0.06,New
2025-03-12,Chennai,Chennai - Branch 3,Cold Brew,536.1,40,40,Edward,6.35,0.11,Returning
2025-03-05,Dubai,Dubai - Branch 3,Frappuccino,343.82,56,85,Jennifer,6.87,0.0,New
2025-02-15,Kolkata,Kolkata - Branch 3,Americano,328.0,72,39,Vanessa,3.65,0.09,Returning
2025-03-13,Surat,Surat - Branch 3,Frappuccino,520.32,74,47,Ashley,6.68,0.05,New
2025-02-28,Kolkata,Kolkata - Branch 1,Frappuccino,168.92,89,25,Patrick,6.18,0.1,Loyal
2025-03-25,Chennai,Chennai - Branch 1,Americano,258.75,64,31,Amanda,6.08,0.08,Loyal
2025-05-26,Bangalore,Bangalore - Branch 3,Mocha,232.15,43,176,Erica,6.18,0.04,New
2025-03-19,Jaipur,Jaipur - Branch 1,Frappuccino,358.8,70,36,Meghan,3.52,0.14,Returning
2025-03-31,Pune,Pune - Branch 3,Americano,532.2,60,175,Amy,2.87,0.06,New
2025-05-29,Delhi,Delhi - Branch 3,Espresso,489.97,39,98,William,3.42,0.01,Loyal
2025-02-14,Mumbai,Mumbai - Branch 2,Cappuccino,441.78,48,25,Mark,5.47,0.08,Returning
